platform,listing_id,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,52649124,Apartment in FADAAOUS,FADAAOUS,1,1,137,4.93,182,36,19/11/2025 11:38
airbnb,1178171209681767641,Apartment in Antelias,Antelias,3,3,113,5,11,35,19/11/2025 11:38
airbnb,758636989438589801,Villa in Faqra,Faqra,2,1,119.6,4.91,108,65,19/11/2025 11:38
airbnb,1468550719266051901,Apartment in Keserwan District,Keserwan District,1,1,35.8,4.78,9,38,19/11/2025 11:38
airbnb,1464951114787821094,Home in Byblos,Byblos,1,1,161,5,12,39,19/11/2025 11:38
airbnb,1165152193678286673,Home in Batroun,Batroun,1,1,89.2,5,43,50,19/11/2025 11:38
airbnb,1430290287654338903,Guesthouse in Batroun,Batroun,2,1,80,5,13,40,19/11/2025 11:38
airbnb,1185392390727251798,Apartment in Sin el Fil,Sin el Fil,1,1,144,4.98,43,41,19/11/2025 11:38
airbnb,847177459594755103,Apartment in Beirut,Beirut,1,1,67.4,4.94,33,36,19/11/2025 11:38
airbnb,1505599922676422682,Apartment in Beirut,Beirut,1,1,45.2,5,4,40,19/11/2025 11:38
airbnb,1444351584245716765,Chalet in Fadous,Fadous,1,1,91.4,5,13,8,19/11/2025 11:38
airbnb,766499846322728767,Apartment in Beirut,Beirut,1,1,39.6,4.67,107,31,19/11/2025 11:38
airbnb,1215820198757469329,Apartment in Ehmej,Ehmej,2,2,88.4,5,8,37,19/11/2025 11:38
airbnb,1471442097368700779,Guesthouse in Matn District,Matn District,1,1,85.6,5,5,32,19/11/2025 11:38
airbnb,1450209197016912841,Apartment in Broummâna,Broummâna,1,1,61.8,5,11,52,19/11/2025 11:38
airbnb,1500715814265431638,Apartment in Beirut,Beirut,3,2,141.6,4.83,6,33,19/11/2025 11:38
airbnb,1379145109182988322,Apartment in Beirut,Beirut,1,1,110.8,5,29,69,19/11/2025 11:39
airbnb,1379834076410098897,Apartment in Beirut,Beirut,1,1,57.4,4.89,44,20,19/11/2025 11:39
airbnb,604839642977634458,Loft in Batroun,Batroun,1,1,159.8,4.91,116,34,19/11/2025 11:38
airbnb,1543017818958381205,Apartment in Kasslik,Kasslik,1,1,83.4,5,,38,19/11/2025 11:39
airbnb,933281712710412563,Apartment in Kasslik,Kasslik,1,1,54,4.83,40,33,19/11/2025 11:39
airbnb,790650815575717972,Villa in Mayrouba,Mayrouba,1,1,268,5,18,56,19/11/2025 11:39
airbnb,33123246,Apartment in Beirut,Beirut,1,1,74.4,4.95,125,44,19/11/2025 11:39
airbnb,1230607325190857708,Apartment in Sin el Fil,Sin el Fil,1,1,145,4.89,57,49,19/11/2025 11:39
airbnb,881513318527514472,Villa in Niha,Niha,3,2,237.6,5,29,44,19/11/2025 11:39
airbnb,1230250829351435302,Apartment in Mtaileb,Mtaileb,2,2,81,4.95,21,51,19/11/2025 11:39
airbnb,1415362455027787410,Apartment in Beirut,Beirut,1,1,53.2,5,12,18,19/11/2025 11:39
airbnb,1463916955699617004,Dome in Himlaya,Himlaya,1,1,148.4,4.67,9,34,19/11/2025 11:39
