platform,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,Apartment in Beirut,Beirut,1,1,55.2,4.75,8,15,19/11/2025 11:41
airbnb,Apartment in Beirut,Beirut,1,1,59.8,5.0,8,22,19/11/2025 11:36
airbnb,Cabin in Ain Al Sindianeh-khenchara,Ain Al Sindianeh-Khenchara,1,2,115.0,5.0,8,28,19/11/2025 11:41
airbnb,Apartment in Matn District,Matn District,2,2,67.2,5.0,8,25,19/11/2025 11:36
Stayinn,Raspberry Studio in Mar Mikhael,Beirut,1,1,65.0,5.0,79,41,2025-11-23T06:31:49.693509
Stayinn,"Standalone 1-BR W/ Terrace, Ashrafieh",Beirut,1,1,90.0,5.0,79,46,2025-11-20T06:32:43.065778
airbnb,Apartment in Beirut,Beirut,1,1,40.6,4.62,79,33,19/11/2025 11:46
Stayinn,U Park 1-BR / Sin El Fil,Beirut,1,1,111.0,5.0,78,45,2025-11-23T06:31:53.155524
Stayinn,U Park 1-BR / Sin El Fil,Beirut,1,1,143.0,5.0,78,45,2025-11-24T06:34:31.243277
airbnb,Apartment in Beirut,Beirut,1,1,80.0,4.91,78,64,19/11/2025 11:44
airbnb,Apartment in Beirut,Beirut,1,1,69.4,4.92,78,37,19/11/2025 11:46
Stayinn,U Park 1-BR / Sin El Fil,Beirut,1,1,114.0,5.0,77,45,2025-11-19T14:27:02.494092
Stayinn,"The Cube - 7R, 1-BR / Sin El Fil",Beirut,1,1,123.0,5.0,75,42,2025-11-24T06:34:40.618402
airbnb,Apartment in Beirut,Beirut,2,2,177.4,4.95,75,35,19/11/2025 11:45
airbnb,Home in Batroun,Batroun,3,2,253.8,4.96,75,46,19/11/2025 11:41
Stayinn,"The Cube - 7R, 1-BR / Sin El Fil",Beirut,1,1,124.0,5.0,74,42,2025-11-23T06:31:59.624033
Stayinn,"The Cube - 7R, 1-BR / Sin El Fil",Beirut,1,1,110.0,5.0,74,42,2025-11-20T06:33:04.365046
airbnb,Apartment in Baabda,Baabda,2,2,84.6,4.84,74,40,19/11/2025 11:40
airbnb,Apartment in Beirut,Beirut,1,1,70.2,4.97,74,44,19/11/2025 11:48
airbnb,Apartment in Beirut,Beirut,1,1,58.6,4.94,72,33,19/11/2025 11:46
Stayinn,"Amine 502, 1-BR in Mar Mikhael",Beirut,1,1,94.0,5.0,71,41,2025-11-19T14:27:06.355070
Stayinn,"Amine 502, 1-BR in Mar Mikhael",Beirut,1,1,92.0,5.0,71,41,2025-11-24T06:34:34.764358
Stayinn,"Amine 502, 1-BR in Mar Mikhael",Beirut,1,1,91.0,5.0,71,41,2025-11-23T06:31:54.108424
Stayinn,"Amine 502, 1-BR in Mar Mikhael",Beirut,1,1,93.0,5.0,71,41,2025-11-21T06:34:33.138635
Stayinn,Beit Chams: 3-Suites / Batroun,Batroun,3,3,268.0,5.0,7,34,2025-11-23T06:31:12.884657
Stayinn,Beit Chams: 3-Suites / Batroun,Batroun,3,3,250.0,5.0,7,34,2025-11-24T06:33:46.633009
Stayinn,Bond 3-BR / Sin El Fil,Beirut,3,3,113.0,5.0,7,47,2025-11-24T06:33:36.023635
Stayinn,Beit Chams: 3-Suites / Batroun,Batroun,3,3,263.0,5.0,7,34,2025-11-22T06:29:59.940863
Stayinn,Bond 3-BR / Sin El Fil,Beirut,3,3,118.0,5.0,7,47,2025-11-19T14:26:04.389237
Stayinn,Bond 3-BR / Sin El Fil,Beirut,3,3,112.0,5.0,7,47,2025-11-22T06:29:52.159111
Stayinn,Bond 3-BR / Sin El Fil,Beirut,3,3,115.0,5.0,7,47,2025-11-20T06:31:57.282516
Stayinn,Beit Chams: 3-Suites / Batroun,Batroun,3,3,311.0,5.0,7,34,2025-11-20T06:32:09.380656
Stayinn,Beit Chams: 3-Suites / Batroun,Batroun,3,3,264.0,5.0,7,34,2025-11-21T06:33:46.056787
Stayinn,Bond 3-BR / Sin El Fil,Beirut,3,3,114.0,5.0,7,47,2025-11-21T06:33:34.708970
airbnb,Apartment in Beirut,Beirut,1,1,60.0,4.86,7,19,19/11/2025 11:44
airbnb,Apartment in Matn District,Matn District,3,2,92.0,5.0,7,46,19/11/2025 11:39
airbnb,Chalet in Chekka,Chekka,2,1,114.2,4.96,69,17,19/11/2025 11:46
airbnb,Apartment in Ain Aar,Ain Aar,1,1,70.0,4.84,69,42,19/11/2025 11:38
