platform,listing_id,title,city,bedrooms,bathrooms,beds,price,price_per_night_usd,rating,review_count,amenities_count,minimum_nights,url,last_scraped
LebanonRental,soulful-stay-heart-of-nature,A Soulful Stay in the Heart of Nature,Keserouan,1,1,1,Started 80$ /Night,80.0,,0,2,1,https://lebanon-rental.com/property/soulful-stay-heart-of-nature/,2025-11-27
LebanonRental,kfardebian-1-bdr-chalet-green-smith,Kfardebian 1 Bdr Chalet Green Smith,Keserouan,1,,1,Starting 130$ /Night,130.0,,0,1,1,https://lebanon-rental.com/property/kfardebian-1-bdr-chalet-green-smith/,2025-11-27
LebanonRental,kfardebian-1-bdr-chalet-pink,Kfardebian 1 Bdr chalet Pink,Keserouan,1,,1,Starting 130$ /Night,130.0,,0,1,1,https://lebanon-rental.com/property/kfardebian-1-bdr-chalet-pink/,2025-11-27
LebanonRental,bqaatouta-2-bdrs-the-little-u2,Bqaatouta 2 Bdrs The Little U2,Keserouan,2,,2,Starting 100$ /Night,100.0,,0,1,1,https://lebanon-rental.com/property/bqaatouta-2-bdrs-the-little-u2/,2025-11-27
LebanonRental,zaarour-3-bedroom-guesthouse,"Zaarour, 3 Bedroom Guesthouse",Keserouan,3,,3,Starting 300$ /Night,300.0,,0,1,1,https://lebanon-rental.com/property/zaarour-3-bedroom-guesthouse/,2025-11-27
LebanonRental,your-perfect-mountain-retreat-premium-rooms-faqra,Escape to Faqra: Standard & Premium Rooms Available,Keserouan,1,1,1,Started 400$ /Night,400.0,,0,2,1,https://lebanon-rental.com/property/your-perfect-mountain-retreat-premium-rooms-faqra/,2025-11-27
LebanonRental,luxury-2-bedroom-suites-faqra,Mountain Luxury: Exclusive 2-Bedroom Suites in Faqra,Keserouan,1,1,1,"Started 1,100$ /Night",1100.0,,0,2,1,https://lebanon-rental.com/property/luxury-2-bedroom-suites-faqra/,2025-11-27
LebanonRental,luxury-junior-suites-mountain-views-faqra,Luxury Junior Suites with Mountain Views in Faqra,Keserouan,1,1,1,650$,650.0,,0,2,1,https://lebanon-rental.com/property/luxury-junior-suites-mountain-views-faqra/,2025-11-27
LebanonRental,deluxe-room-nature-combined,Deluxe Room – Comfort & Nature Combined,Chouf,1,1,1,Started 120$ /Night,120.0,,0,2,1,https://lebanon-rental.com/property/deluxe-room-nature-combined/,2025-11-27
LebanonRental,stay-dhour-guest-unit-6,Unit 6 – Comfort & Nature Combined,Chouf,1,1,1,Started 130$ /Night,130.0,,0,2,1,https://lebanon-rental.com/property/stay-dhour-guest-unit-6/,2025-11-27
LebanonRental,faraya-chabrouh-1-bedroom,"Faraya, Chabrouh 1 bedroom",Keserouan,1,1,1,Starting 100$ /Night,100.0,,0,2,1,https://lebanon-rental.com/property/faraya-chabrouh-1-bedroom/,2025-11-27
LebanonRental,faqra-two-bedroom,"Faqra, Two bedroom",Keserouan,2,1,2,Starting 100$ /Night,100.0,,0,2,1,https://lebanon-rental.com/property/faqra-two-bedroom/,2025-11-27
LebanonRental,ghazir-royal-suite-with-outdoor-jacuzzi-and-chimney,"Ghazir, Royal Suite with Outdoor Jacuzzi And Chimney",Keserouan,1,1,1,Starting 250$ /Night,250.0,,0,2,1,https://lebanon-rental.com/property/ghazir-royal-suite-with-outdoor-jacuzzi-and-chimney/,2025-11-27
LebanonRental,guest-stay-dhour-unit-4,Unit 4 – Comfort & Nature Combined,Chouf,1,1,1,Started 130$ /Night,130.0,,0,2,1,https://lebanon-rental.com/property/guest-stay-dhour-unit-4/,2025-11-27
LebanonRental,faraya-luxury-cabin-with-jacuzzi,"Faraya, Luxury Cabin With Jacuzzi",Keserouan,1,1,1,Starting 380$ /Night,380.0,,0,2,1,https://lebanon-rental.com/property/faraya-luxury-cabin-with-jacuzzi/,2025-11-27
LebanonRental,dlebta-stone-chalet-1-bedroom,"Dlebta, Stone Chalet 1 bedroom",Jbeil,1,1,1,Starting 120$ /Night,120.0,,0,2,1,https://lebanon-rental.com/property/dlebta-stone-chalet-1-bedroom/,2025-11-27
LebanonRental,dlebta-the-4th-dome,Dlebta the 4th Dome,Jbeil,,,,Starting 150$ /Night,150.0,,0,0,1,https://lebanon-rental.com/property/dlebta-the-4th-dome/,2025-11-27
LebanonRental,ghazir-senior-suite-with-jacuzzi-indoor,"Ghazir, Senior Suite With Jacuzzi Indoor",Beirut,,,,Starting 150$ /Night,150.0,,0,0,1,https://lebanon-rental.com/property/ghazir-senior-suite-with-jacuzzi-indoor/,2025-11-27
LebanonRental,ghazir-grand-suite-with-indoor-jacuzzi-and-electrical-chimney,"Ghazir, Grand Suite With Indoor Jacuzzi and Electrical Chimney",Beirut,1,1,1,Starting 180$ /Night,180.0,,0,2,1,https://lebanon-rental.com/property/ghazir-grand-suite-with-indoor-jacuzzi-and-electrical-chimney/,2025-11-27
LebanonRental,ghazir-suite-with-salon,Ghazir Suite with Salon,Beirut,1,1,1,Starting 125$ /Night,125.0,,0,2,1,https://lebanon-rental.com/property/ghazir-suite-with-salon/,2025-11-27
LebanonRental,chabtine-1-bedroom-guesthouse-with-private-pool,Chabtine 1 Bedroom Guesthouse with Private Pool,El Batroun,1,,1,Starting 70$ /Night,70.0,,0,1,1,https://lebanon-rental.com/property/chabtine-1-bedroom-guesthouse-with-private-pool/,2025-11-27
LebanonRental,kfaraabida-1-bedroom-2,"Kfaraabida, 1 bedroom",El Batroun,1,1,1,Starting 100$ /Night,100.0,,0,2,1,https://lebanon-rental.com/property/kfaraabida-1-bedroom-2/,2025-11-27
LebanonRental,kfaraabida-4-bedrooms-villa,"Kfaraabida, 4 Bedrooms Villa",El Batroun,,,,Starting 700$ /Night,700.0,,0,0,1,https://lebanon-rental.com/property/kfaraabida-4-bedrooms-villa/,2025-11-27
LebanonRental,boxmaya-1-bedroom-guesthouse,"Boxmaya, 1 Bedroom Guesthouse",El Batroun,1,1,1,Starting 150$ /Night,150.0,,0,2,1,https://lebanon-rental.com/property/boxmaya-1-bedroom-guesthouse/,2025-11-27
LebanonRental,modern-apartment-for-rent-batroun,Modern Apartment for Rent in Batroun,El Batroun,1,1,1,Started 80$ /Night,80.0,,0,2,1,https://lebanon-rental.com/property/modern-apartment-for-rent-batroun/,2025-11-27
LebanonRental,baakline-chalet-2-bedroom,Baakline Chalet 2 Bedroom,Chouf,,,,Starting 150$ /Night,150.0,,0,0,1,https://lebanon-rental.com/property/baakline-chalet-2-bedroom/,2025-11-27
