platform,listing_id,title,city,bedrooms,bathrooms,beds,price,rating,review_count,amenities_count,minimum_nights,last_scraped
airbnb,1266583793571029094,Apartment in Mar Roukoz - Dahr El Hossein,Mar Roukoz - Dahr El Hossein,1.0,1.0,1.0,377.0,4.98,47.0,19,5.0,2025-11-19 11:37:46
airbnb,1435478199354139158,Chalet in Fadous,Fadous,1.0,1.0,1.0,525.0,5.0,21.0,14,5.0,2025-11-19 11:37:51
airbnb,1318238654713482336,Apartment in Ain Saadeh,Ain Saadeh,1.0,1.0,1.0,281.0,4.94,18.0,37,5.0,2025-11-19 11:37:54
airbnb,1058087826400700458,Apartment in Beirut,Beirut,3.0,2.0,3.0,828.0,4.95,56.0,45,5.0,2025-11-19 11:37:58
airbnb,1396241596416000127,Apartment in Keserwan District,Keserwan District,1.0,1.0,1.0,365.0,4.94,18.0,53,5.0,2025-11-19 11:37:58
airbnb,1498411984223433602,Apartment in Keserwan District,Keserwan District,1.0,1.0,1.0,219.0,5.0,,40,5.0,2025-11-19 11:38:01
airbnb,704722293277643041,Apartment in Ain Aar,Ain Aar,1.0,1.0,2.0,350.0,4.84,69.0,42,5.0,2025-11-19 11:38:04
airbnb,1374495263771901266,Hotel in Beirut,Beirut,1.0,1.0,1.0,314.0,5.0,13.0,31,5.0,2025-11-19 11:37:59
airbnb,1267932760637550664,Apartment in Byblos,Byblos,1.0,1.0,1.0,383.0,4.73,37.0,47,5.0,2025-11-19 11:38:07
airbnb,1427342357242491009,Guesthouse in Batroun,Batroun,2.0,1.0,3.0,411.0,5.0,20.0,39,5.0,2025-11-19 11:38:09
airbnb,970425894268063863,Apartment in Faqra,Faqra,2.0,2.0,3.0,714.0,5.0,18.0,54,5.0,2025-11-19 11:38:11
airbnb,1379858377997872269,Apartment in Beirut,Beirut,1.0,1.0,1.0,285.0,4.89,19.0,20,5.0,2025-11-19 11:38:16
airbnb,52649124,Apartment in FADAAOUS,FADAAOUS,1.0,1.0,1.0,685.0,4.93,182.0,36,5.0,2025-11-19 11:38:16
airbnb,1178171209681767641,Apartment in Antelias,Antelias,3.0,3.0,3.0,565.0,5.0,11.0,35,5.0,2025-11-19 11:38:20
airbnb,758636989438589801,Villa in Faqra,Faqra,2.0,1.0,3.0,598.0,4.91,108.0,65,5.0,2025-11-19 11:38:23
airbnb,1468550719266051901,Apartment in Keserwan District,Keserwan District,1.0,1.0,1.0,179.0,4.78,9.0,38,5.0,2025-11-19 11:38:23
airbnb,1464951114787821094,Home in Byblos,Byblos,1.0,1.0,1.0,805.0,5.0,12.0,39,5.0,2025-11-19 11:38:26
airbnb,1165152193678286673,Home in Batroun,Batroun,1.0,1.0,3.0,446.0,5.0,43.0,50,5.0,2025-11-19 11:38:29
airbnb,1430290287654338903,Guesthouse in Batroun,Batroun,2.0,1.0,3.0,400.0,5.0,13.0,40,5.0,2025-11-19 11:38:30
airbnb,1185392390727251798,Apartment in Sin el Fil,Sin el Fil,1.0,1.0,1.0,720.0,4.98,43.0,41,5.0,2025-11-19 11:38:32
airbnb,847177459594755103,Apartment in Beirut,Beirut,1.0,1.0,1.0,337.0,4.94,33.0,36,5.0,2025-11-19 11:38:36
airbnb,1505599922676422682,Apartment in Beirut,Beirut,1.0,1.0,2.0,226.0,5.0,4.0,40,5.0,2025-11-19 11:38:36
airbnb,1444351584245716765,Chalet in Fadous,Fadous,1.0,1.0,1.0,457.0,5.0,13.0,8,5.0,2025-11-19 11:38:40
airbnb,766499846322728767,Apartment in Beirut,Beirut,1.0,1.0,1.0,198.0,4.67,107.0,31,5.0,2025-11-19 11:38:43
airbnb,1215820198757469329,Apartment in Ehmej,Ehmej,2.0,2.0,2.0,442.0,5.0,8.0,37,5.0,2025-11-19 11:38:46
airbnb,1471442097368700779,Guesthouse in Matn District,Matn District,1.0,1.0,1.0,428.0,5.0,5.0,32,5.0,2025-11-19 11:38:50
airbnb,1450209197016912841,Apartment in Broummâna,Broummâna,1.0,1.0,2.0,309.0,5.0,11.0,52,5.0,2025-11-19 11:38:53
